Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
170	3.6502e-002	3.6502e-002	-4.3126e-002	-9.2616e-002
171	4.42e-002	4.42e-002	-3.5194e-002	-5.467e-002
172	5.0572e-002	5.0572e-002	-2.5194e-002	-2.6407e-002
173	5.4926e-002	5.4926e-002	-1.3243e-002	-7.7336e-003
174	5.4926e-002	5.4926e-002	1.3243e-002	-1.1679e-002
175	5.0572e-002	5.0572e-002	2.5194e-002	-3.2747e-002
176	4.42e-002	4.42e-002	3.5194e-002	-6.3296e-002
177	3.6502e-002	3.6502e-002	4.3126e-002	-0.10235
178	2.7959e-002	2.7959e-002	4.9097e-002	-0.14634
179	1.8891e-002	1.8891e-002	5.3248e-002	-0.18286
180	9.5161e-003	9.5161e-003	5.5693e-002	-0.21442
181	0.104	0.	5.3e-002	-0.31696
182	0.104	1.034e-002	5.1982e-002	-0.24649
183	0.104	2.0282e-002	4.8966e-002	-0.1855
184	0.104	2.9445e-002	4.4068e-002	-0.13399
185	0.104	3.7477e-002	3.7477e-002	-9.1169e-002
186	0.104	4.4068e-002	2.9445e-002	-5.8217e-002
187	0.104	4.8966e-002	2.0282e-002	-3.4112e-002
188	0.104	5.1982e-002	1.034e-002	-1.8658e-002
189	0.104	5.3e-002	2.6782e-017	-1.2843e-002
190	0.104	5.1982e-002	-1.034e-002	-1.6299e-002
191	0.104	4.8966e-002	-2.0282e-002	-2.9229e-002
192	0.104	4.4068e-002	-2.9445e-002	-5.1057e-002
193	0.104	3.7477e-002	-3.7477e-002	-8.259e-002
194	0.104	2.9445e-002	-4.4068e-002	-0.12359
195	0.104	2.0282e-002	-4.8966e-002	-0.17461
196	0.104	1.034e-002	-5.1982e-002	-0.2353
197	0.104	3.0777e-017	-5.3e-002	-0.30596
198	0.104	-1.034e-002	-5.1982e-002	-0.38495
199	0.104	-2.0282e-002	-4.8966e-002	-0.47092
200	0.104	-2.9445e-002	-4.4068e-002	-0.55932
201	0.104	-3.7477e-002	-3.7477e-002	-0.64533
202	0.104	-4.4068e-002	-2.9445e-002	-0.72234
203	0.104	-4.8966e-002	-2.0282e-002	-0.78398
204	0.104	-5.1982e-002	-1.034e-002	-0.82398
205	0.104	-5.3e-002	-3.3273e-017	-0.83842
206	0.104	-5.1982e-002	1.034e-002	-0.82604
207	0.104	-4.8966e-002	2.0282e-002	-0.78805
208	0.104	-4.4068e-002	2.9445e-002	-0.72862
209	0.104	-3.7477e-002	3.7477e-002	-0.65277
210	0.104	-2.9445e-002	4.4068e-002	-0.56823
211	0.104	-2.0282e-002	4.8966e-002	-0.48064
212	0.104	-1.034e-002	5.1982e-002	-0.39582
213	9.1e-002	0.	5.3e-002	-0.31433
214	7.8e-002	0.	5.3e-002	-0.31358
215	6.5e-002	0.	5.3e-002	-0.31231
216	5.2e-002	0.	5.3e-002	-0.31099
217	3.9e-002	0.	5.3e-002	-0.30998
218	2.6e-002	0.	5.3e-002	-0.30848
219	1.3e-002	0.	5.3e-002	-0.30906
220	-0.104	0.	5.3e-002	-0.31691
221	-1.3e-002	0.	5.3e-002	-0.30961
222	-2.6e-002	0.	5.3e-002	-0.30855
223	-3.9e-002	0.	5.3e-002	-0.30949
224	-5.2e-002	0.	5.3e-002	-0.311
225	-6.5e-002	0.	5.3e-002	-0.31244
226	-7.8e-002	0.	5.3e-002	-0.3133
227	-9.1e-002	0.	5.3e-002	-0.31446
228	-0.104	-1.034e-002	5.1982e-002	-0.39544
229	-0.104	-2.0282e-002	4.8966e-002	-0.48071
230	-0.104	-2.9445e-002	4.4068e-002	-0.56793
231	-0.104	-3.7477e-002	3.7477e-002	-0.65304
232	-0.104	-4.4068e-002	2.9445e-002	-0.72855
233	-0.104	-4.8966e-002	2.0282e-002	-0.78798
234	-0.104	-5.1982e-002	1.034e-002	-0.82592
235	-0.104	-5.3e-002	2.6782e-017	-0.83862
236	-0.104	-5.1982e-002	-1.034e-002	-0.82391
237	-0.104	-4.8966e-002	-2.0282e-002	-0.78401
238	-0.104	-4.4068e-002	-2.9445e-002	-0.72268
239	-0.104	-3.7477e-002	-3.7477e-002	-0.64505
240	-0.104	-2.9445e-002	-4.4068e-002	-0.55915
241	-0.104	-2.0282e-002	-4.8966e-002	-0.47081
242	-0.104	-1.034e-002	-5.1982e-002	-0.38487
243	-0.104	-3.0777e-017	-5.3e-002	-0.30586
244	-0.104	1.034e-002	-5.1982e-002	-0.23518
245	-0.104	2.0282e-002	-4.8966e-002	-0.17408
246	-0.104	2.9445e-002	-4.4068e-002	-0.12304
247	-0.104	3.7477e-002	-3.7477e-002	-8.1681e-002
248	-0.104	4.4068e-002	-2.9445e-002	-4.9977e-002
249	-0.104	4.8966e-002	-2.0282e-002	-2.7881e-002
250	-0.104	5.1982e-002	-1.034e-002	-1.4958e-002
251	-0.104	5.3e-002	-3.3273e-017	-1.1484e-002
252	-0.104	5.1982e-002	1.034e-002	-1.7318e-002
253	-0.104	4.8966e-002	2.0282e-002	-3.2554e-002
254	-0.104	4.4068e-002	2.9445e-002	-5.6984e-002
255	-0.104	3.7477e-002	3.7477e-002	-9.0327e-002
256	-0.104	2.9445e-002	4.4068e-002	-0.13324
257	-0.104	2.0282e-002	4.8966e-002	-0.18553
258	-0.104	1.034e-002	5.1982e-002	-0.24642
259	5.65e-002	0.1015	0.	0.
260	5.65e-002	6.775e-002	0.	0.
261	5.65e-002	7.9e-002	0.	0.
262	5.65e-002	9.025e-002	0.	0.
263	5.5538e-002	0.1015	-1.0382e-002	-1.86e-002
264	5.2685e-002	0.1015	-2.041e-002	-2.0815e-002
265	4.8037e-002	0.1015	-2.9743e-002	1.5113e-002
266	4.1754e-002	0.1015	-3.8064e-002	6.8671e-002
267	3.4049e-002	0.1015	-4.5088e-002	0.10743
268	2.5184e-002	0.1015	-5.0577e-002	0.11544
269	1.5462e-002	0.1015	-5.4343e-002	0.10244
270	5.2132e-003	0.1015	-5.6259e-002	8.7417e-002
271	-5.2132e-003	0.1015	-5.6259e-002	8.7507e-002
272	-1.5462e-002	0.1015	-5.4343e-002	0.1022
273	-2.5184e-002	0.1015	-5.0577e-002	0.11586
274	-3.4049e-002	0.1015	-4.5088e-002	0.10686
275	-4.1754e-002	0.1015	-3.8064e-002	6.9504e-002
276	-4.8037e-002	0.1015	-2.9743e-002	2.3511e-002
277	-5.2685e-002	0.1015	-2.041e-002	-8.5965e-003
278	-5.5538e-002	0.1015	-1.0382e-002	-1.3856e-002
279	-5.65e-002	0.1015	3.4891e-018	-3.3137e-003
280	-5.5538e-002	0.1015	1.0382e-002	-2.2236e-002
281	-5.2685e-002	0.1015	2.041e-002	-2.3982e-002
282	-4.8037e-002	0.1015	2.9743e-002	1.1318e-002
283	-4.1754e-002	0.1015	3.8064e-002	6.4175e-002
284	-3.4049e-002	0.1015	4.5088e-002	0.10221
285	-2.5184e-002	0.1015	5.0577e-002	0.10755
286	-1.5462e-002	0.1015	5.4343e-002	9.4954e-002
287	-5.2132e-003	0.1015	5.6259e-002	8.0652e-002
288	5.2132e-003	0.1015	5.6259e-002	7.9837e-002
289	1.5462e-002	0.1015	5.4343e-002	9.5138e-002
290	2.5184e-002	0.1015	5.0577e-002	0.10785
291	3.4049e-002	0.1015	4.5088e-002	9.9424e-002
292	4.1754e-002	0.1015	3.8064e-002	6.1295e-002
293	4.8037e-002	0.1015	2.9743e-002	8.4163e-003
294	5.2685e-002	0.1015	2.041e-002	-2.5765e-002
295	5.5538e-002	0.1015	1.0382e-002	-2.091e-002
296	-5.3e-002	9.5437e-002	0.	0.
297	-5.3e-002	5.9062e-002	0.	0.
298	-4.4714e-003	4.4714e-003	-5.2811e-002	-0.27366
299	-1.3349e-002	1.3349e-002	-5.1291e-002	-0.22655
300	-2.2021e-002	2.2021e-002	-4.8209e-002	-0.17867
301	-3.0311e-002	3.0311e-002	-4.3477e-002	-0.13003
302	4.7691e-003	4.7691e-003	5.2785e-002	-0.28324
303	1.4228e-002	1.4228e-002	5.1055e-002	-0.23305
304	2.3435e-002	2.3435e-002	4.7537e-002	-0.18203
305	3.2167e-002	3.2167e-002	4.2123e-002	-0.1296
306	4.01e-002	4.01e-002	3.4655e-002	-8.3071e-002
307	4.01e-002	4.01e-002	-3.4655e-002	-7.4773e-002
308	3.2167e-002	3.2167e-002	-4.2123e-002	-0.12008
309	2.3435e-002	2.3435e-002	-4.7537e-002	-0.17096
310	1.4228e-002	1.4228e-002	-5.1055e-002	-0.22215
311	4.7691e-003	4.7691e-003	-5.2785e-002	-0.27156
312	-3.0311e-002	3.0311e-002	4.3477e-002	-0.14041
313	-2.2021e-002	2.2021e-002	4.8209e-002	-0.18981
314	-1.3349e-002	1.3349e-002	5.1291e-002	-0.23729
315	-4.4714e-003	4.4714e-003	5.2811e-002	-0.28514
316	9.7067e-002	-5.65e-002	0.	-0.89237
317	-9.7067e-002	-5.65e-002	0.	-0.89235
318	-4.7666e-003	4.7666e-003	5.6299e-002	-0.2346
319	-1.4231e-002	1.4231e-002	5.4679e-002	-0.19757
320	-2.3475e-002	2.3475e-002	5.1392e-002	-0.16504
321	-3.2313e-002	3.2313e-002	4.6348e-002	-0.12434
322	-5.61e-002	5.61e-002	6.7133e-003	-2.9597e-003
323	-5.61e-002	5.61e-002	-6.7133e-003	-1.7217e-003
324	-3.2313e-002	3.2313e-002	-4.6348e-002	-0.11334
325	-2.3475e-002	2.3475e-002	-5.1392e-002	-0.15423
326	-1.4231e-002	1.4231e-002	-5.4679e-002	-0.1866
327	-4.7666e-003	4.7666e-003	-5.6299e-002	-0.22343
328	4.7666e-003	4.7666e-003	-5.6299e-002	-0.22385
329	1.4231e-002	1.4231e-002	-5.4679e-002	-0.18587
330	2.3475e-002	2.3475e-002	-5.1392e-002	-0.1547
331	3.2313e-002	3.2313e-002	-4.6348e-002	-0.11402
332	4.0482e-002	4.0482e-002	-3.9414e-002	-7.2604e-002
333	4.0482e-002	4.0482e-002	3.9414e-002	-8.2155e-002
334	3.2313e-002	3.2313e-002	4.6348e-002	-0.12513
335	2.3475e-002	2.3475e-002	5.1392e-002	-0.16613
336	1.4231e-002	1.4231e-002	5.4679e-002	-0.19804
337	4.7666e-003	4.7666e-003	5.6299e-002	-0.23492
338	9.75e-002	0.	5.3e-002	-0.31556
339	6.5e-003	0.	5.3e-002	-0.31077
340	-6.5e-003	0.	5.3e-002	-0.31051
341	-9.75e-002	0.	5.3e-002	-0.31556
342	-3.6724e-002	2.6466e-002	-4.5919e-002	-0.14964
343	-3.8892e-002	2.6872e-002	4.5682e-002	-0.1576
344	-2.2135e-002	1.3256e-002	-5.1316e-002	-0.22153
345	-2.8154e-002	1.2659e-002	5.1466e-002	-0.23435
346	-1.2438e-002	1.1082e-003	-5.2988e-002	-0.29175
347	5.0159e-002	3.8782e-002	3.6124e-002	-9.0825e-002
348	4.997e-002	3.8581e-002	-3.6339e-002	-8.3584e-002
349	-3.25e-003	-1.1311e-002	5.1779e-002	-0.39178
350	3.8064e-002	2.786e-002	4.5087e-002	-0.15325
351	4.1472e-002	2.9048e-002	-4.4331e-002	-0.13592
352	2.9198e-002	1.2772e-002	5.1438e-002	-0.23404
353	2.4128e-002	1.4627e-002	-5.0942e-002	-0.21376
354	9.5744e-003	-1.2674e-003	-5.2985e-002	-0.30684
355	9.2201e-002	2.6471e-002	4.5916e-002	-0.15028
356	9.3031e-002	4.097e-002	3.3623e-002	-7.4798e-002
357	9.716e-002	5.1644e-002	1.1914e-002	-2.1216e-002
358	9.183e-002	4.5897e-002	-2.6504e-002	-4.3945e-002
359	9.1911e-002	3.2438e-002	-4.1914e-002	-0.1086
360	9.1954e-002	1.4044e-002	-5.1105e-002	-0.21058
361	9.326e-002	-6.3529e-003	-5.2618e-002	-0.35074
362	9.7177e-002	-2.7922e-002	-4.5049e-002	-0.54256
363	9.4631e-002	-4.1653e-002	-3.2773e-002	-0.69346
364	9.4631e-002	-5.1024e-002	-1.4338e-002	-0.81337
365	9.4631e-002	-5.2627e-002	6.2789e-003	-0.83653
366	9.4631e-002	-4.6218e-002	2.594e-002	-0.75536
367	9.4975e-002	-3.0378e-002	4.343e-002	-0.57638
368	-9.1921e-002	-2.6054e-002	4.6154e-002	-0.53277
369	-9.3031e-002	-4.097e-002	3.3623e-002	-0.69201
370	-9.6068e-002	-5.1304e-002	1.3302e-002	-0.81957
371	-9.4631e-002	-5.2627e-002	-6.2789e-003	-0.8355
372	-9.4631e-002	-4.6218e-002	-2.594e-002	-0.75002
373	-9.4631e-002	-3.2773e-002	-4.1653e-002	-0.59269
374	-9.4631e-002	-1.4338e-002	-5.1024e-002	-0.41588
375	-9.4631e-002	6.2789e-003	-5.2627e-002	-0.26019
376	-9.4631e-002	2.594e-002	-4.6218e-002	-0.14194
377	-9.4631e-002	4.1653e-002	-3.2773e-002	-6.2505e-002
378	-9.6092e-002	5.1322e-002	-1.3232e-002	-1.8517e-002
379	-9.6055e-002	5.2483e-002	7.3863e-003	-1.5519e-002
380	-9.6166e-002	4.5784e-002	2.6699e-002	-4.9358e-002
381	-9.5412e-002	3.1273e-002	4.279e-002	-0.12362
382	-6.2918e-002	5.2466e-002	-7.5016e-003	-7.5596e-003
383	-5.7405e-002	4.8748e-002	2.08e-002	-3.2252e-002
384	-5.6682e-002	4.438e-002	-2.8972e-002	-5.0948e-002
385	6.3096e-002	5.3e-002	-3.2453e-018	-6.5303e-003
386	8.3104e-002	1.2542e-002	5.1495e-002	-0.23085
387	7.3592e-002	1.0568e-002	5.1936e-002	-0.24286
388	6.2423e-002	1.3848e-002	5.1159e-002	-0.22334
389	4.472e-002	1.4597e-002	5.095e-002	-0.22084
390	-4.4873e-002	1.3145e-002	5.1344e-002	-0.22845
391	-5.802e-002	1.2153e-002	5.1588e-002	-0.23301
392	-7.014e-002	9.3252e-003	5.2173e-002	-0.25057
393	-8.1972e-002	1.2349e-002	5.1541e-002	-0.23172
394	-4.0422e-003	-7.2078e-003	-5.2508e-002	-0.34944
395	-1.5706e-002	-6.3673e-003	5.2616e-002	-0.35293
396	3.8942e-002	2.0637e-002	-4.8817e-002	-0.17929
397	2.3558e-002	4.7399e-003	-5.2788e-002	-0.26786
398	8.8939e-002	4.8495e-002	2.1383e-002	-3.7617e-002
399	8.8996e-002	5.2951e-002	2.2809e-003	-1.3991e-002
400	8.9325e-002	5.094e-002	-1.4633e-002	-2.1599e-002
401	9.1691e-002	4.0041e-002	-3.4724e-002	-7.1343e-002
402	8.9079e-002	-2.0259e-002	-4.8975e-002	-0.46756
403	8.9758e-002	-3.4592e-002	-4.0155e-002	-0.61228
