Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
225	-6.5e-002	0.	5.3e-002	0.12137
226	-7.8e-002	0.	5.3e-002	0.16088
227	-9.1e-002	0.	5.3e-002	0.20087
228	-0.104	-1.034e-002	5.1982e-002	0.22672
229	-0.104	-2.0282e-002	4.8966e-002	0.20076
230	-0.104	-2.9445e-002	4.4068e-002	0.15781
231	-0.104	-3.7477e-002	3.7477e-002	0.10768
232	-0.104	-4.4068e-002	2.9445e-002	6.1413e-002
233	-0.104	-4.8966e-002	2.0282e-002	2.9129e-002
234	-0.104	-5.1982e-002	1.034e-002	1.4378e-002
235	-0.104	-5.3e-002	2.6782e-017	1.0459e-002
236	-0.104	-5.1982e-002	-1.034e-002	5.0917e-003
237	-0.104	-4.8966e-002	-2.0282e-002	-1.2131e-002
238	-0.104	-4.4068e-002	-2.9445e-002	-4.6069e-002
239	-0.104	-3.7477e-002	-3.7477e-002	-9.4271e-002
240	-0.104	-2.9445e-002	-4.4068e-002	-0.14704
241	-0.104	-2.0282e-002	-4.8966e-002	-0.19069
242	-0.104	-1.034e-002	-5.1982e-002	-0.21751
243	-0.104	-3.0777e-017	-5.3e-002	-0.2294
244	-0.104	1.034e-002	-5.1982e-002	-0.23869
245	-0.104	2.0282e-002	-4.8966e-002	-0.25558
246	-0.104	2.9445e-002	-4.4068e-002	-0.28149
247	-0.104	3.7477e-002	-3.7477e-002	-0.30223
248	-0.104	4.4068e-002	-2.9445e-002	-0.29676
249	-0.104	4.8966e-002	-2.0282e-002	-0.24338
250	-0.104	5.1982e-002	-1.034e-002	-0.13578
251	-0.104	5.3e-002	-3.3273e-017	6.1696e-003
252	-0.104	5.1982e-002	1.034e-002	0.14782
253	-0.104	4.8966e-002	2.0282e-002	0.25218
254	-0.104	4.4068e-002	2.9445e-002	0.30544
255	-0.104	3.7477e-002	3.7477e-002	0.31048
256	-0.104	2.9445e-002	4.4068e-002	0.29004
257	-0.104	2.0282e-002	4.8966e-002	0.26509
258	-0.104	1.034e-002	5.1982e-002	0.24906
259	5.65e-002	0.1015	0.	0.
260	5.65e-002	6.775e-002	0.	0.
261	5.65e-002	7.9e-002	0.	0.
262	5.65e-002	9.025e-002	0.	0.
263	5.5538e-002	0.1015	-1.0382e-002	-2.4447e-003
264	5.2685e-002	0.1015	-2.041e-002	-4.5809e-003
265	4.8037e-002	0.1015	-2.9743e-002	-6.034e-003
266	4.1754e-002	0.1015	-3.8064e-002	-7.2561e-003
267	3.4049e-002	0.1015	-4.5088e-002	-6.7711e-003
268	2.5184e-002	0.1015	-5.0577e-002	-3.1878e-003
269	1.5462e-002	0.1015	-5.4343e-002	3.3546e-003
270	5.2132e-003	0.1015	-5.6259e-002	1.1896e-002
271	-5.2132e-003	0.1015	-5.6259e-002	2.0489e-002
272	-1.5462e-002	0.1015	-5.4343e-002	2.7479e-002
273	-2.5184e-002	0.1015	-5.0577e-002	3.0298e-002
274	-3.4049e-002	0.1015	-4.5088e-002	2.913e-002
275	-4.1754e-002	0.1015	-3.8064e-002	2.4572e-002
276	-4.8037e-002	0.1015	-2.9743e-002	1.751e-002
277	-5.2685e-002	0.1015	-2.041e-002	1.0862e-002
278	-5.5538e-002	0.1015	-1.0382e-002	5.366e-003
279	-5.65e-002	0.1015	3.4891e-018	1.0877e-004
280	-5.5538e-002	0.1015	1.0382e-002	-3.9997e-003
281	-5.2685e-002	0.1015	2.041e-002	-9.3202e-003
282	-4.8037e-002	0.1015	2.9743e-002	-1.6161e-002
283	-4.1754e-002	0.1015	3.8064e-002	-2.2732e-002
284	-3.4049e-002	0.1015	4.5088e-002	-2.7951e-002
285	-2.5184e-002	0.1015	5.0577e-002	-2.9548e-002
286	-1.5462e-002	0.1015	5.4343e-002	-2.6547e-002
287	-5.2132e-003	0.1015	5.6259e-002	-2.0243e-002
288	5.2132e-003	0.1015	5.6259e-002	-1.2208e-002
289	1.5462e-002	0.1015	5.4343e-002	-4.0658e-003
290	2.5184e-002	0.1015	5.0577e-002	2.1189e-003
291	3.4049e-002	0.1015	4.5088e-002	5.0253e-003
292	4.1754e-002	0.1015	3.8064e-002	6.0698e-003
293	4.8037e-002	0.1015	2.9743e-002	4.8764e-003
294	5.2685e-002	0.1015	2.041e-002	3.8563e-003
295	5.5538e-002	0.1015	1.0382e-002	1.9984e-003
296	-5.3e-002	9.5437e-002	0.	0.
297	-5.3e-002	5.9062e-002	0.	0.
298	-4.4714e-003	4.4714e-003	-5.2811e-002	1.4669e-002
299	-1.3349e-002	1.3349e-002	-5.1291e-002	2.2693e-002
300	-2.2021e-002	2.2021e-002	-4.8209e-002	3.5834e-002
301	-3.0311e-002	3.0311e-002	-4.3477e-002	4.0585e-002
302	4.7691e-003	4.7691e-003	5.2785e-002	-1.4179e-002
303	1.4228e-002	1.4228e-002	5.1055e-002	-4.5307e-003
304	2.3435e-002	2.3435e-002	4.7537e-002	9.6658e-003
305	3.2167e-002	3.2167e-002	4.2123e-002	1.9271e-002
306	4.01e-002	4.01e-002	3.4655e-002	1.889e-002
307	4.01e-002	4.01e-002	-3.4655e-002	-2.0201e-002
308	3.2167e-002	3.2167e-002	-4.2123e-002	-1.9139e-002
309	2.3435e-002	2.3435e-002	-4.7537e-002	-1.1409e-002
310	1.4228e-002	1.4228e-002	-5.1055e-002	3.2996e-003
311	4.7691e-003	4.7691e-003	-5.2785e-002	1.3526e-002
312	-3.0311e-002	3.0311e-002	4.3477e-002	-3.9931e-002
313	-2.2021e-002	2.2021e-002	4.8209e-002	-3.3503e-002
314	-1.3349e-002	1.3349e-002	5.1291e-002	-2.2594e-002
315	-4.4714e-003	4.4714e-003	5.2811e-002	-1.4394e-002
316	9.7067e-002	-5.65e-002	0.	-1.0532e-002
317	-9.7067e-002	-5.65e-002	0.	9.8487e-003
318	-4.7666e-003	4.7666e-003	5.6299e-002	-4.7757e-003
319	-1.4231e-002	1.4231e-002	5.4679e-002	4.3697e-003
320	-2.3475e-002	2.3475e-002	5.1392e-002	-9.1406e-003
321	-3.2313e-002	3.2313e-002	4.6348e-002	-2.1937e-002
322	-5.61e-002	5.61e-002	6.7133e-003	-1.6224e-003
323	-5.61e-002	5.61e-002	-6.7133e-003	2.0642e-003
324	-3.2313e-002	3.2313e-002	-4.6348e-002	2.3526e-002
325	-2.3475e-002	2.3475e-002	-5.1392e-002	1.0566e-002
326	-1.4231e-002	1.4231e-002	-5.4679e-002	-1.7237e-003
327	-4.7666e-003	4.7666e-003	-5.6299e-002	5.9346e-003
328	4.7666e-003	4.7666e-003	-5.6299e-002	2.5759e-002
329	1.4231e-002	1.4231e-002	-5.4679e-002	3.2073e-002
330	2.3475e-002	2.3475e-002	-5.1392e-002	1.6253e-002
331	3.2313e-002	3.2313e-002	-4.6348e-002	8.3057e-005
332	4.0482e-002	4.0482e-002	-3.9414e-002	-6.084e-003
333	4.0482e-002	4.0482e-002	3.9414e-002	4.2895e-003
334	3.2313e-002	3.2313e-002	4.6348e-002	-2.4399e-003
335	2.3475e-002	2.3475e-002	5.1392e-002	-1.8725e-002
336	1.4231e-002	1.4231e-002	5.4679e-002	-3.3614e-002
337	4.7666e-003	4.7666e-003	5.6299e-002	-2.5914e-002
338	9.75e-002	0.	5.3e-002	-0.24283
339	6.5e-003	0.	5.3e-002	-1.7525e-002
340	-6.5e-003	0.	5.3e-002	-1.1098e-002
341	-9.75e-002	0.	5.3e-002	0.22039
342	-3.6724e-002	2.6466e-002	-4.5919e-002	1.5724e-002
343	-3.8892e-002	2.6872e-002	4.5682e-002	-8.2857e-003
344	-2.2135e-002	1.3256e-002	-5.1316e-002	1.406e-002
345	-2.8154e-002	1.2659e-002	5.1466e-002	1.3025e-003
346	-1.2438e-002	1.1082e-003	-5.2988e-002	9.2855e-003
347	5.0159e-002	3.8782e-002	3.6124e-002	-1.8835e-002
348	4.997e-002	3.8581e-002	-3.6339e-002	1.5764e-002
349	-3.25e-003	-1.1311e-002	5.1779e-002	-1.1887e-002
350	3.8064e-002	2.786e-002	4.5087e-002	-1.003e-002
351	4.1472e-002	2.9048e-002	-4.4331e-002	1.3321e-002
352	2.9198e-002	1.2772e-002	5.1438e-002	-3.1798e-002
353	2.4128e-002	1.4627e-002	-5.0942e-002	1.3478e-002
354	9.5744e-003	-1.2674e-003	-5.2985e-002	1.9487e-002
355	9.2201e-002	2.6471e-002	4.5916e-002	-0.23838
356	9.3031e-002	4.097e-002	3.3623e-002	-0.24075
357	9.716e-002	5.1644e-002	1.1914e-002	-0.13049
358	9.183e-002	4.5897e-002	-2.6504e-002	0.20045
359	9.1911e-002	3.2438e-002	-4.1914e-002	0.23383
360	9.1954e-002	1.4044e-002	-5.1105e-002	0.22233
361	9.326e-002	-6.3529e-003	-5.2618e-002	0.21535
362	9.7177e-002	-2.7922e-002	-4.5049e-002	0.16118
363	9.4631e-002	-4.1653e-002	-3.2773e-002	7.102e-002
364	9.4631e-002	-5.1024e-002	-1.4338e-002	7.6736e-003
365	9.4631e-002	-5.2627e-002	6.2789e-003	-1.5586e-002
366	9.4631e-002	-4.6218e-002	2.594e-002	-5.6979e-002
367	9.4975e-002	-3.0378e-002	4.343e-002	-0.15708
368	-9.1921e-002	-2.6054e-002	4.6154e-002	0.14616
369	-9.3031e-002	-4.097e-002	3.3623e-002	6.9585e-002
370	-9.6068e-002	-5.1304e-002	1.3302e-002	1.5607e-002
371	-9.4631e-002	-5.2627e-002	-6.2789e-003	7.8212e-003
372	-9.4631e-002	-4.6218e-002	-2.594e-002	-2.597e-002
373	-9.4631e-002	-3.2773e-002	-4.1653e-002	-0.1094
374	-9.4631e-002	-1.4338e-002	-5.1024e-002	-0.18326
375	-9.4631e-002	6.2789e-003	-5.2627e-002	-0.20618
376	-9.4631e-002	2.594e-002	-4.6218e-002	-0.22806
377	-9.4631e-002	4.1653e-002	-3.2773e-002	-0.24445
378	-9.6092e-002	5.1322e-002	-1.3232e-002	-0.14096
379	-9.6055e-002	5.2483e-002	7.3863e-003	8.9809e-002
380	-9.6166e-002	4.5784e-002	2.6699e-002	0.24561
381	-9.5412e-002	3.1273e-002	4.279e-002	0.24948
382	-6.2918e-002	5.2466e-002	-7.5016e-003	-1.2988e-002
383	-5.7405e-002	4.8748e-002	2.08e-002	1.239e-002
384	-5.6682e-002	4.438e-002	-2.8972e-002	-1.8983e-002
385	6.3096e-002	5.3e-002	-3.2453e-018	-6.0698e-004
386	8.3104e-002	1.2542e-002	5.1495e-002	-0.20149
387	7.3592e-002	1.0568e-002	5.1936e-002	-0.17123
388	6.2423e-002	1.3848e-002	5.1159e-002	-0.131
389	4.472e-002	1.4597e-002	5.095e-002	-7.0779e-002
390	-4.4873e-002	1.3145e-002	5.1344e-002	4.5772e-002
391	-5.802e-002	1.2153e-002	5.1588e-002	9.1323e-002
392	-7.014e-002	9.3252e-003	5.2173e-002	0.13554
393	-8.1972e-002	1.2349e-002	5.1541e-002	0.17538
394	-4.0422e-003	-7.2078e-003	-5.2508e-002	1.2268e-002
395	-1.5706e-002	-6.3673e-003	5.2616e-002	-3.4836e-004
396	3.8942e-002	2.0637e-002	-4.8817e-002	3.0898e-002
397	2.3558e-002	4.7399e-003	-5.2788e-002	3.16e-002
398	8.8939e-002	4.8495e-002	2.1383e-002	-0.16891
399	8.8996e-002	5.2951e-002	2.2809e-003	-2.2212e-002
400	8.9325e-002	5.094e-002	-1.4633e-002	0.11711
401	9.1691e-002	4.0041e-002	-3.4724e-002	0.22848
402	8.9079e-002	-2.0259e-002	-4.8975e-002	0.17371
403	8.9758e-002	-3.4592e-002	-4.0155e-002	0.10902
404	8.9758e-002	-4.7325e-002	-2.386e-002	2.9176e-002
405	8.9758e-002	-5.2854e-002	-3.9333e-003	-6.5753e-003
406	8.9758e-002	-5.0336e-002	1.6592e-002	-2.8293e-002
407	8.9758e-002	-4.0155e-002	3.4592e-002	-9.035e-002
408	8.7083e-002	-2.0309e-002	4.8954e-002	-0.17922
409	-8.979e-002	-4.7835e-002	2.2821e-002	2.8242e-002
410	-8.9758e-002	-5.2854e-002	3.9333e-003	9.211e-003
411	-8.9758e-002	-5.0336e-002	-1.6592e-002	-1.7979e-003
412	-8.9758e-002	-4.0155e-002	-3.4592e-002	-5.7877e-002
413	-8.9758e-002	-2.386e-002	-4.7325e-002	-0.14111
414	-8.9758e-002	-3.9333e-003	-5.2854e-002	-0.18586
415	-8.9758e-002	1.6592e-002	-5.0336e-002	-0.19592
416	-8.9758e-002	3.4592e-002	-4.0155e-002	-0.21628
417	-8.9758e-002	4.7325e-002	-2.386e-002	-0.18821
418	-8.8779e-002	5.2921e-002	-2.8851e-003	-2.3652e-002
419	-8.9758e-002	5.0336e-002	1.6592e-002	0.15088
420	-9.0428e-002	4.1288e-002	3.3231e-002	0.22638
421	-9.0717e-002	2.4242e-002	4.7131e-002	0.21534
422	-6.2946e-002	5.258e-002	6.6621e-003	1.0739e-002
423	-5.8609e-002	4.2016e-002	3.2306e-002	3.5119e-002
